date,carbon_intensity,cfe
2021_01,291.184718,43.539341
2021_02,270.851324,48.668185
2021_03,268.785121,47.385847
2021_04,281.897986,45.059931
2021_05,217.948212,58.262554
2021_06,245.779056,53.068403
2021_07,255.257581,50.298952
2021_08,248.662487,52.676573
2021_09,308.954125,41.640458
2021_10,296.797796,43.954745
2021_11,346.728514,33.076681
2021_12,329.303508,37.868817
2022_01,326.947876,36.603683
2022_02,330.489896,38.980595
2022_03,347.359073,35.822218
2022_04,286.829444,46.882681
2022_05,278.905793,49.765565
2022_06,302.611042,44.933722
2022_07,320.503602,42.209194
2022_08,320.927339,40.839435
2022_09,328.940597,41.090514
2022_10,335.784745,39.167164
2022_11,318.867014,42.927639
2022_12,360.520000,35.838320
2023_01,325.063548,43.146290
2023_02,326.363958,41.723616
2023_03,300.272755,46.187594
2023_04,219.668708,54.275889
2023_05,203.494489,59.877003
2023_06,238.369903,55.660375
2023_07,248.732043,50.746962
2023_08,230.276129,54.557110
2023_09,250.623222,50.493986
2023_10,234.661263,52.507970
2023_11,210.026097,58.736986
2023_12,238.637702,50.695860
2024_01,232.030632,52.224194
2024_02,225.667399,54.523319
2024_03,192.853871,60.919556
2024_04,170.670889,66.253958
2024_05,158.240887,68.989731
2024_06,171.978792,65.487792
2024_07,200.595995,57.939099
2024_08,224.420538,52.279960
2024_09,218.139361,54.222792
2024_10,206.335591,58.530390
2024_11,249.970847,48.306319
2024_12,237.275780,49.463750
