date,carbon_intensity,cfe
2022_12,360.520000,35.838320
2022_03,347.359073,35.822218
2021_11,346.728514,33.076681
2022_10,335.784745,39.167164
2022_02,330.489896,38.980595
2024_05,158.240887,68.989731
2024_04,170.670889,66.253958
2024_06,171.978792,65.487792
2024_03,192.853871,60.919556
2024_07,200.595995,57.939099
2024_05,158.240887,68.989731
2024_04,170.670889,66.253958
2024_06,171.978792,65.487792
2024_03,192.853871,60.919556
2023_05,203.494489,59.877003
2021_11,346.728514,33.076681
2022_03,347.359073,35.822218
2022_12,360.520000,35.838320
2022_01,326.947876,36.603683
2021_12,329.303508,37.868817
